"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","760","Health Check: https://erozyx.com/categories","tests.monitoring","Sun Feb 15 20:28:34 UTC 2026","passed","Sun Feb 15 20:28:35 UTC 2026","","Health Check","",""
"","919","Health Check: https://erozyx.com/channels","tests.monitoring","Sun Feb 15 20:28:35 UTC 2026","passed","Sun Feb 15 20:28:36 UTC 2026","","Health Check","",""
"","353","Health Check: https://erozyx.com/community","tests.monitoring","Sun Feb 15 20:28:36 UTC 2026","passed","Sun Feb 15 20:28:36 UTC 2026","","Health Check","",""
"","841","Health Check: https://erozyx.com/","tests.monitoring","Sun Feb 15 20:28:30 UTC 2026","passed","Sun Feb 15 20:28:31 UTC 2026","","Health Check","",""
"","777","Health Check: https://erozyx.com/videos","tests.monitoring","Sun Feb 15 20:28:31 UTC 2026","passed","Sun Feb 15 20:28:31 UTC 2026","","Health Check","",""
